Age,Boys,Girls
5,109.696837335773,109.541676679828
6,115.627250312838,115.398119979595
7,121.114919518384,120.790683951776
8,126.285187093615,126.01172170753
9,131.262623167035,131.349152850971
10,136.187610423329,137.076855097059
11,141.221657358784,143.201525339874
12,146.950111196817,148.711637208893
13,153.627616043882,152.62642835968
14,159.89410578979,155.139181721546
15,164.419476461234,156.693073197084
16,167.282482716353,157.567921769527
17,169.036989740789,158.026194787039
18,170.077288053313,158.304537661364
19,170.835994392509,158.638268921939
